,Total.Mass,Lean.Mass,Fat.Mass
2136 wt,49,22.6,25.4
2152 aa,52.7,26.27,24.8
2126 aa,47.1,23.38,23.56
2154 wt,48.9,23.36,23.22
2104 wt,52.2,26.56,25.89
2121 aa,53.5,26.01,27.41
2105 wt,51.1,24.28,26.51
2107 aa,55,27.04,27.72
2106 aa,51.5,23.5,27.84
2102 wt,53.6,25.94,27.47
2128 wt,52,24.53,26.68
