,Total.Mass,Lean.Mass,Fat.Mass
WT1,25.9,7.1,21.13
KO1,24.9,5.51,21.75
WT2,25.8,7.12,21.17
KO2,25.8,5.26,21.11
WT3,27.1,8.1,20.86
KO3,27,6.39,22.4
